762_0|ERR337762	ERR337762_00009	ERR337762_00030	ERR337762_00036	ERR337762_00028	ERR337762_00026	ERR337762_00027
Mycobacterium_kansasii_ATCC12478_pMK12478_esxP	Mycobacterium_kansasii_ATCC12478_pMK12478_00075	Mycobacterium_kansasii_ATCC12478_pMK12478_00087	Mycobacterium_kansasii_ATCC12478_pMK12478_00086	Mycobacterium_kansasii_ATCC12478_pMK12478_00078	Mycobacterium_kansasii_ATCC12478_pMK12478_00076	Mycobacterium_kansasii_ATCC12478_pMK12478_00077
Mycobacterium_chubuense_NBB4_pMYCCH01_esxP	Mycobacterium_chubuense_NBB4_pMYCCH01_00204	Mycobacterium_chubuense_NBB4_pMYCCH01_00227	Mycobacterium_chubuense_NBB4_pMYCCH01_00226	Mycobacterium_chubuense_NBB4_pMYCCH01_00218	Mycobacterium_chubuense_NBB4_pMYCCH01_00216	Mycobacterium_chubuense_NBB4_pMYCCH01_00217
Mycobacterium_chubuense_NBB4_pMYCCH02_esxP	Mycobacterium_chubuense_NBB4_pMYCCH02_00075	Mycobacterium_chubuense_NBB4_pMYCCH02_00099	Mycobacterium_chubuense_NBB4_pMYCCH02_00098	Mycobacterium_chubuense_NBB4_pMYCCH02_00090	Mycobacterium_chubuense_NBB4_pMYCCH02_00088	Mycobacterium_chubuense_NBB4_pMYCCH02_00089
Mycobacterium_gilvum_PYR-GCK_pMFLV01_esxP	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00203	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00202	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00201	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00195	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00193	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00194
Mycobacterium_abscessus_bolletii_plasmid2_esxP	Mycobacterium_abscessus_bolletii_plasmid2_00076	Mycobacterium_abscessus_bolletii_plasmid2_00097	Mycobacterium_abscessus_bolletii_plasmid2_00104	Mycobacterium_abscessus_bolletii_plasmid2_00094	Mycobacterium_abscessus_bolletii_plasmid2_00092	Mycobacterium_abscessus_bolletii_plasmid2_00093
Mycobacterium_sp_KMS_pMKMS01_esxP	Mycobacterium_sp_KMS_pMKMS01_00009	Mycobacterium_sp_KMS_pMKMS01_00297	Mycobacterium_sp_KMS_pMKMS01_00291	Mycobacterium_sp_KMS_pMKMS01_00299	Mycobacterium_sp_KMS_pMKMS01_00301	Mycobacterium_sp_KMS_pMKMS01_00300
Mycobacterium_sp_KMS_pMKMS02_esxP	Mycobacterium_sp_KMS_pMKMS02_00178	Mycobacterium_sp_KMS_pMKMS02_00179	Mycobacterium_sp_KMS_pMKMS02_00180	Mycobacterium_sp_KMS_pMKMS02_00187	Mycobacterium_sp_KMS_pMKMS02_00185	Mycobacterium_sp_KMS_pMKMS02_00186
Mycobacterium_yongonense_05-1390_pMyong1_esxP	Mycobacterium_yongonense_05-1390_pMyong1_00055	Mycobacterium_yongonense_05-1390_pMyong1_00066	Mycobacterium_yongonense_05-1390_pMyong1_00065	Mycobacterium_yongonense_05-1390_pMyong1_00058	Mycobacterium_yongonense_05-1390_pMyong1_00056	Mycobacterium_yongonense_05-1390_pMyong1_00057
Mycobacterium_marinum_E11_pRAW_esxP	Mycobacterium_marinum_E11_pRAW_00079	Mycobacterium_marinum_E11_pRAW_00068	Mycobacterium_marinum_E11_pRAW_00069	Mycobacterium_marinum_E11_pRAW_00076	Mycobacterium_marinum_E11_pRAW_00078	Mycobacterium_marinum_E11_pRAW_00077
Mycobacterium_smegmatis_JS623_pMYCSM01_esxP	Mycobacterium_smegmatis_JS623_pMYCSM01_00348	Mycobacterium_smegmatis_JS623_pMYCSM01_00265	Mycobacterium_smegmatis_JS623_pMYCSM01_00247	Mycobacterium_smegmatis_JS623_pMYCSM01_00267	Mycobacterium_smegmatis_JS623_pMYCSM01_00269	Mycobacterium_smegmatis_JS623_pMYCSM01_00268
Mycobacterium_smegmatis_JS623_pMYCSM02_esxP	Mycobacterium_smegmatis_JS623_pMYCSM02_00189	Mycobacterium_smegmatis_JS623_pMYCSM02_00188	Mycobacterium_smegmatis_JS623_pMYCSM02_00187	Mycobacterium_smegmatis_JS623_pMYCSM02_00176	Mycobacterium_smegmatis_JS623_pMYCSM02_00174	Mycobacterium_smegmatis_JS623_pMYCSM02_00175
Mycobacterium_smegmatis_JS623_pMYCSM03_esxP	Mycobacterium_smegmatis_JS623_pMYCSM03_00098	Mycobacterium_smegmatis_JS623_pMYCSM03_00099	Mycobacterium_smegmatis_JS623_pMYCSM03_00100	Mycobacterium_smegmatis_JS623_pMYCSM03_00108	Mycobacterium_smegmatis_JS623_pMYCSM03_00106	Mycobacterium_smegmatis_JS623_pMYCSM03_00107
